"","State","weighted_mean_lakidshalfshare","weighted_mean_lakids1share","weight_mean_lawhite1share","weighted_mean_lablack1share","weighted_mean_laasian1share","weighted_mean_lanhopi1share","weighted_mean_laaian1share","weighted_mean_laomultir1share","weighted_mean_lahisp1share","weighted_mean_povertyrate","count","LocationType","Year","DataFormat","youth_poverty_rate_2010"
"12","Hawaii",0.152169861780949,0.0933858316223734,0.123299412766474,0.0068905817497695,0.00153660733185457,0.0638057186477736,0.00153660733185457,0.170335649320721,0.0615270669871898,11.4287018828921,332,"State",2010,"Percent","0.14"
"13","Idaho",0.219096390614106,0.14125191977664,0.442488648548668,0.00205200678941027,0.00737238003988762,0.0011234807061444,0.00737238003988762,0.056076366352417,0.0828479577139995,15.8131145292559,298,"State",2010,"Percent","0.19"
"14","Illinois",0.151865505082856,0.0752985318165482,0.261880372199361,0.0198653529111179,0.000747217705819238,0.000176531996994537,0.000747217705819238,0.0369318599024709,0.0632641820619659,14.6991343762334,3121,"State",2010,"Percent","0.19"
"15","Indiana",0.200155176939619,0.130508754482721,0.462375772890403,0.0283109872997521,0.00129121623989673,0.00027792355880243,0.00129121623989673,0.0324211062569977,0.0409421414384168,15.9006343963002,1508,"State",2010,"Percent","0.22"
"16","Iowa",0.184768175357774,0.114290858007032,0.444261245585085,0.00670653819753136,0.00148570015039836,0.000409918570162566,0.00148570015039836,0.0241153020640826,0.0327939064154712,12.9724128015284,825,"State",2010,"Percent","0.16"
"17","Kansas",0.196593943408411,0.113502732942573,0.381886221250193,0.0211151615352546,0.00445741572497814,0.000590925499718595,0.00445741572497814,0.0476849761966668,0.0710025649812479,14.043857772444,770,"State",2010,"Percent","0.18"
"18","Kentucky",0.196166617374305,0.137954487980968,0.530663448331448,0.0216141950873268,0.00127205626522413,0.000446132604424713,0.00127205626522413,0.0221948297314157,0.0222720736868485,19.1791488712524,1115,"State",2010,"Percent","0.26"
"19","Louisiana",0.195699001952819,0.128633570194714,0.34684993483466,0.134357656532376,0.00423354350380045,0.000338322166585925,0.00423354350380045,0.0224786419856889,0.0291487965362439,19.7951133725624,1143,"State",2010,"Percent","0.27"
"20","Maine",0.176929009972616,0.142039026739217,0.640870126713143,0.0035900297958959,0.00438193839279897,0.000201775476924063,0.00438193839279897,0.014353985284655,0.00944466844868093,14.0353275201545,355,"State",2010,"Percent","0.18"
"21","Maryland",0.163188438205088,0.0836439639409024,0.25460112568615,0.0675845363826236,0.00102106262453526,0.000348369915851234,0.00102106262453526,0.0361611061747918,0.044082900775137,10.3075185778183,1399,"State",2010,"Percent","0.13"
"22","Massachusetts",0.151463051204606,0.0839661710066965,0.331508790110732,0.0075897558563185,0.000684077116042782,0.000187800669915846,0.000684077116042782,0.0337714208275892,0.042613483283393,11.8592602451971,1476,"State",2010,"Percent","0.14"
"23","Michigan",0.1819655005401,0.109714156847095,0.407934663986862,0.0262579238047499,0.00328519599434849,0.000191952684475304,0.00328519599434849,0.0262544079347539,0.0303207187702331,17.204448027245,2774,"State",2010,"Percent","0.23"
"24","Minnesota",0.192967729998885,0.122739715625267,0.441140059295313,0.0123582124629905,0.00618275094789454,0.000295328085810075,0.00618275094789454,0.028412379134844,0.0302573052173508,11.7384001659149,1336,"State",2010,"Percent","0.15"
"25","Mississippi",0.225514815529748,0.17416740129614,0.442044325353793,0.220184065146985,0.00424272910111987,0.000335479195858071,0.00424272910111987,0.0205845678324064,0.0231123220402288,23.1193732882148,662,"State",2010,"Percent","0.33"
"26","Missouri",0.190545205247186,0.120960452672079,0.44166326845816,0.0284774497831034,0.0023653033534565,0.000786163099908812,0.0023653033534565,0.0246579982177905,0.0253826897541935,15.9050999285848,1393,"State",2010,"Percent","0.21"
"27","Montana",0.178813709042193,0.125904240471973,0.476180317036859,0.00166918013251982,0.0363288407917379,0.000475112921348445,0.0363288407917379,0.0226354374749808,0.0204827510157876,15.4756452044895,271,"State",2010,"Percent","0.2"
"28","Nebraska",0.181601182545304,0.092460215512911,0.335579987491262,0.00649163236993391,0.00405406781558014,0.000432563764034095,0.00405406781558014,0.0406816679825496,0.0577565606946394,13.232936291744,532,"State",2010,"Percent","0.18"
"29","Nevada",0.157109541741445,0.0704087290897201,0.212982022597705,0.0163464993965746,0.00490125292135303,0.00369060396839421,0.00490125292135303,0.0929384489294587,0.146265496012585,15.9216278826062,687,"State",2010,"Percent","0.22"
"30","New Hampshire",0.192619603968906,0.149801096153043,0.634913163109627,0.00461158579339748,0.00139644291170606,0.000242996287576638,0.00139644291170606,0.0195682737747995,0.0206466628251692,9.15399120374941,295,"State",2010,"Percent","0.1"
"31","New Jersey",0.142365119841694,0.0705065811096977,0.245319351045351,0.0208058238969036,0.000611604517008254,0.000179873371790137,0.000611604517008254,0.0328897697063355,0.0619055072298284,10.7978043638834,2007,"State",2010,"Percent","0.14"
"32","New Mexico",0.202075927437319,0.133078139255877,0.337544062921798,0.00774691012589857,0.069524945406761,0.000663952138208548,0.069524945406761,0.144930789688845,0.359591918385835,21.1058808389168,499,"State",2010,"Percent","0.3"
"33","New York",0.0955606002272449,0.0518927758032715,0.208284138513173,0.00886403886485993,0.00108905268364825,0.000128125308656826,0.00108905268364825,0.0184931627604611,0.0311496625258812,15.6644016323167,4907,"State",2010,"Percent","0.21"
"34","North Carolina",0.200633928265806,0.136139712901557,0.418395047672001,0.0958973752347138,0.00964529791410461,0.000528892266471973,0.00964529791410461,0.0510980075058792,0.0655099813570938,17.8978777582635,2192,"State",2010,"Percent","0.25"
"35","North Dakota",0.171492143130186,0.1085857650747,0.399497685299262,0.00342193319808963,0.0306160203274484,0.000379839973165754,0.0306160203274484,0.0161277931961627,0.0140637823920382,12.3020654454193,205,"State",2010,"Percent","0.16"
"36","Ohio",0.186775311590435,0.113261480979645,0.415915188499304,0.0294877635979032,0.000921511386618193,0.000258171027594573,0.000921511386618193,0.0224697300939517,0.0214163030813222,16.3959212253556,2949,"State",2010,"Percent","0.23"
"37","Oklahoma",0.198229058389021,0.129524302192504,0.388357031374237,0.0305321196880712,0.0520386883674711,0.000850177547824194,0.0520386883674711,0.0739517025577337,0.0608914065433473,17.2358870177704,1046,"State",2010,"Percent","0.25"
"38","Oregon",0.155397800525308,0.0761589761246661,0.303131964323784,0.00260045897158363,0.00582404739074574,0.00202223911369186,0.00582404739074574,0.0552453788163909,0.0701439315136475,16.8919774976938,830,"State",2010,"Percent","0.22"
"39","Pennsylvania",0.155788946984552,0.0952681032691269,0.39356414051133,0.0147664126063928,0.000608261077776007,0.000179283660014219,0.000608261077776007,0.0205489988807743,0.0261577604454122,13.7734931464413,3218,"State",2010,"Percent","0.19"
"40","Rhode Island",0.143165036396947,0.0667967643405356,0.305915774962701,0.005101848568016,0.00117813646576279,0.000258730992757484,0.00117813646576279,0.0433360113685319,0.0554259125657307,14.5508227979786,242,"State",2010,"Percent","0.19"
"41","South Carolina",0.202565359447961,0.145111350201985,0.415812751894988,0.161141260758469,0.00280326382117348,0.000456542368708647,0.00280326382117348,0.0343971795318148,0.0416501659670738,18.7194692136662,1103,"State",2010,"Percent","0.26"
"42","South Dakota",0.206419396721852,0.149708042239584,0.484158262271877,0.00393849321861887,0.0589908716721407,0.000367067803909683,0.0589908716721407,0.0233445265366687,0.0206243560017132,14.5536903387457,222,"State",2010,"Percent","0.18"
"43","Tennessee",0.201490781542927,0.14216676299531,0.503557117038506,0.0648813674008556,0.00183145590155083,0.000454304789559113,0.00183145590155083,0.0307364860104419,0.034829487706708,18.1421821731597,1497,"State",2010,"Percent","0.26"
"44","Texas",0.206732336020172,0.114580021753512,0.315916338655044,0.0430248291963531,0.002779122808403,0.000673176932689479,0.002779122808403,0.0909054770543565,0.266231456674011,17.8866181271517,5258,"State",2010,"Percent","0.26"
"45","Utah",0.234033364394893,0.121194092620167,0.313293802889492,0.00246185683158214,0.00532126309209823,0.00548344905554423,0.00532126309209823,0.0544401150896019,0.0801965715920253,13.1102306716813,588,"State",2010,"Percent","0.16"
"46","Vermont",0.17569480704452,0.143660516557344,0.639840641327693,0.00370066269473257,0.00220075901127068,0.000200618627996102,0.00220075901127068,0.0159341900152354,0.0114813124918364,12.2885727481498,184,"State",2010,"Percent","0.17"
"47","Virginia",0.17570175965596,0.0996673709155882,0.328947988240077,0.0689161397267083,0.00142132725283402,0.000521876318291219,0.00142132725283402,0.0378720935035313,0.0466549916530891,11.8628887877352,1900,"State",2010,"Percent","0.14"
"48","Washington",0.169965129810967,0.0949135724840198,0.324724772817071,0.00717428670987785,0.00768454733911791,0.00383747305903741,0.00768454733911791,0.0617569410239436,0.0692462927082813,13.8183784020914,1455,"State",2010,"Percent","0.18"
"49","West Virginia",0.181974115299238,0.14148984239184,0.629394768079602,0.0149597695551666,0.00127702366455587,0.000196587815871537,0.00127702366455587,0.0144408856717919,0.00969955411467842,18.4112038679024,484,"State",2010,"Percent","0.25"
"50","Wisconsin",0.181518812887569,0.112102279223202,0.437381717615723,0.00952377709021761,0.00500250867817547,0.000242693716674372,0.00500250867817547,0.0261846818056619,0.0350968972181458,13.5613738278941,1395,"State",2010,"Percent","0.19"
"51","Wyoming",0.199097617800441,0.140095576731452,0.51900122605525,0.00432722501054897,0.014621166717185,0.000623679402761844,0.014621166717185,0.0415446912340637,0.0700637473390278,11.8545567450756,132,"State",2010,"Percent","0.14"
